year,game_id,team1,team2,disagreement,model_home,model_draw,model_away,book_home,book_draw,book_away,model_favorite,book_favorite,favorite_flip,model_prediction,blend_prediction,prediction_changed,actual,model_points,blend_points,delta
2014,43,Honduras,Switzerland,0.1724122332014339,0.2151614647516298,0.3038191762295348,0.48101935901883536,0.13239344597784827,0.21417496180164164,0.6534315922200284,away,away,False,0-1,0-1,False,0-3,1,1,0
2014,44,Ecuador,France,0.1634290330768236,0.2603403089602598,0.3044797587025232,0.4351799323372171,0.17014403956905744,0.23124699501666895,0.5986089654138077,away,away,False,0-1,0-1,False,0-0,0,0,0
2014,45,United States,Germany,0.08926947041585262,0.17332820924898648,0.21658882988086006,0.6100829608701535,0.10939688781231054,0.3058583002964785,0.5847448118907426,away,away,False,0-2,0-2,False,0-1,1,1,0
2014,46,Portugal,Ghana,0.08641349684914416,0.5189065023240691,0.2830616311567789,0.19803186651915206,0.550783273640464,0.19664813430738345,0.25256859205165005,home,home,False,1-0,1-0,False,2-1,1,1,0
2014,47,South Korea,Belgium,0.05269914112015214,0.25154563921522505,0.2724497042296022,0.4760046565551728,0.20435406140511408,0.2669421409198061,0.5287037976755701,away,away,False,0-2,0-2,False,0-1,1,1,0
2014,48,Algeria,Russia,0.122576097292784,0.13853816162821744,0.2563643801655635,0.6050974582062191,0.25836953828418296,0.2591091008021393,0.48252136091319237,away,away,False,0-2,0-2,False,1-1,0,0,0
2014,49,Brazil,Chile,0.006530863001793605,0.6344303749199914,0.2194129402962396,0.14615668478376886,0.639937728092864,0.21288207729421668,0.14718019461246062,home,home,False,2-0,2-0,False,1-1,0,0,0
2014,50,Colombia,Uruguay,0.10701785497698044,0.34432341262524163,0.3053483483081898,0.3503282390665686,0.45134126760247245,0.2870479272924556,0.2616108051055728,away,home,True,0-1,1-0,True,2-0,0,1,1
2014,51,Netherlands,Mexico,0.02414786024776107,0.4778244698380972,0.2832069764057978,0.238968553756105,0.45367660959058675,0.28899946191882103,0.2573239284910935,home,home,False,2-0,2-0,False,2-1,2,2,0
2014,52,Costa Rica,Greece,0.11762433681914436,0.24285992166825732,0.3328956418349192,0.42424443649682336,0.36048425848764365,0.309795395202874,0.32972034630996616,away,home,True,0-1,1-0,True,1-1,0,0,0
2014,53,France,Nigeria,0.18522921986790922,0.5047981921439846,0.29963203637541685,0.19556977148059848,0.6900274120116716,0.20357819273740999,0.10639439525047392,home,home,False,1-0,1-0,False,2-0,1,1,0
2014,54,Germany,Algeria,0.01771862781682447,0.7624911426610884,0.15642852274854124,0.0810803345903702,0.7447725148440314,0.16822014730149334,0.08700733785401002,home,home,False,2-0,2-0,False,2-1,2,2,0
2014,55,Argentina,Switzerland,0.06585254204984946,0.5579843621639385,0.2633712965515384,0.17864434128452303,0.6238369042140245,0.23079716378219792,0.14536593200425055,home,home,False,2-0,2-0,False,1-0,1,1,0
2014,56,Belgium,United States,0.10250715546782398,0.3825046676490303,0.2811140522205008,0.33638128013046886,0.48359511411683753,0.28253076122027826,0.23387412466240562,home,home,False,2-1,2-1,False,2-1,3,3,0
2014,57,France,Germany,0.05217244056988185,0.3176691482405561,0.2829489810976628,0.39938187066178116,0.3446476971337818,0.30814287277456043,0.3472094300921408,away,away,False,1-2,1-1,True,0-1,1,0,-1
2014,58,Brazil,Colombia,0.02194065007255118,0.5556674346437902,0.2730452943807584,0.17128727097545143,0.5518903401288938,0.2548817388233449,0.1932279210482439,home,home,False,2-0,2-0,False,2-1,2,2,0
2014,59,Argentina,Belgium,0.13698435118317734,0.6258742707809446,0.21939307465804733,0.15473265456100815,0.4888899195980085,0.2863130640582385,0.22479701634423557,home,home,False,2-0,2-0,False,1-0,1,1,0
2014,60,Netherlands,Costa Rica,0.02786246163789413,0.6676406321222617,0.22303569624120848,0.10932367163652978,0.6397781704841407,0.2296243922766033,0.1305974372388022,home,home,False,2-0,2-0,False,0-0,0,0,0
2014,61,Brazil,Germany,0.19786577499411262,0.5645825011094375,0.22746289317671675,0.2079546057138457,0.36671672611556494,0.3041929793898299,0.32909029449508514,home,home,False,2-1,2-1,False,1-7,0,0,0
2014,62,Netherlands,Argentina,0.012272228601511226,0.3195152429244575,0.28742168442174615,0.39306307265379625,0.31499806098821576,0.29969391302350007,0.38530802598876945,away,away,False,1-2,1-2,False,0-0,0,0,0
2014,63,Brazil,Netherlands,0.06962780680946522,0.5094422238673867,0.2703624964711732,0.22019527966144012,0.44925692552305974,0.26091998800628663,0.289823086471157,home,home,False,2-0,2-0,False,0-3,0,0,0
2014,64,Germany,Argentina,0.14265496614090978,0.31671169774395375,0.24991751112730373,0.43337079112874244,0.41206388109011505,0.2972202939222997,0.29071582498808013,away,home,True,1-2,2-1,True,1-0,0,1,1
2018,1,Russia,Saudi Arabia,0.07690696144132628,0.5961076003092398,0.24081750844269728,0.1630748912480629,0.6730145617503276,0.22271344114149974,0.10427199710769568,home,home,False,2-0,2-0,False,5-0,1,1,0
2018,2,Egypt,Uruguay,0.17625407806550017,0.221374173992832,0.30172771647250346,0.4768981095346645,0.11071681916656109,0.23613099323303663,0.6531521875999271,away,away,False,0-1,0-1,False,0-1,3,3,0
2018,3,Morocco,Iran,0.10790950314056007,0.32948243226286333,0.38300404064522076,0.28751352709191585,0.43739193540317667,0.32877146364496085,0.23383660095136896,draw,home,True,0-0,1-0,True,0-1,0,0,0
2018,4,Portugal,Spain,0.01172684845504933,0.23221212337097438,0.29871467990404416,0.4690731967249815,0.22280481857079387,0.296395136249419,0.48080004518027447,away,away,False,0-1,0-1,False,3-3,0,0,0
2018,5,France,Australia,0.14714507375970193,0.6327196892106876,0.23255999129586002,0.13472031949345242,0.7798647629706356,0.13419266383025483,0.0859425731996018,home,home,False,2-0,2-0,False,2-1,2,2,0
2018,6,Argentina,Iceland,0.0065460493069178435,0.7436143447631862,0.17262116003184336,0.08376449520497044,0.7385204965414158,0.1791672093385101,0.08231229411957189,home,home,False,2-0,2-0,False,1-1,0,0,0
2018,7,Peru,Denmark,0.1236741334779356,0.37134016253980107,0.3294857538627931,0.2991740835974059,0.2628169996543864,0.31433478327002706,0.42284821707509634,home,away,True,1-0,0-1,True,0-1,0,3,3
2018,8,Croatia,Nigeria,0.12497778457272882,0.45912487509429106,0.32214664646312907,0.21872847844257987,0.5841026596667754,0.25709279023681414,0.15880455009592154,home,home,False,1-0,1-0,False,2-0,1,1,0
2018,9,Costa Rica,Serbia,0.0838310071231391,0.25190723647664254,0.29864892764884254,0.449443835874515,0.18117962872393867,0.2855455282781644,0.5332748429974111,away,away,False,0-2,0-2,False,0-1,1,1,0
2018,10,Germany,Mexico,0.046765668353576956,0.6130862437028122,0.22676320675501807,0.16015054954216967,0.6598519120566306,0.21102201099453052,0.12912607694932177,home,home,False,2-0,2-0,False,0-1,0,0,0
2018,11,Brazil,Switzerland,0.054101790652569065,0.6134563302773263,0.24790818101573445,0.13863548870693926,0.6675581209301366,0.21895681034917983,0.11348506872116604,home,home,False,2-0,2-0,False,1-1,0,0,0
2018,12,Sweden,South Korea,0.09752549741204491,0.5278492684400321,0.2784703138223908,0.1936804177375771,0.4303237710282305,0.31952776729537213,0.250148461676884,home,home,False,2-0,2-0,False,1-0,1,1,0
