year,date,home_team,away_team,h_odds_avg,d_odds_avg,a_odds_avg
2024,2024-06-22,Bélgica,Rumanía,1.375,5.0,8.3783
2024,2024-06-22,Turquía,Portugal,5.81,4.11,1.5933
2024,2024-06-22,Georgia,República Checa,4.4583,3.8533,1.7783
2024,2024-06-21,Países Bajos,Francia,3.0983,3.1367,2.4683
2024,2024-06-21,Polonia,Austria,3.8983,3.3383,2.0317
2024,2024-06-21,Eslovaquia,Ucrania,3.28,3.2717,2.2833
2024,2024-06-20,España,Italia,2.1867,3.075,3.735
2024,2024-06-20,Dinamarca,Inglaterra,5.32,3.48,1.7533
2024,2024-06-20,Eslovenia,Serbia,5.3267,3.73,1.695
2024,2024-06-19,Escocia,Suiza,4.32,3.31,1.9567
2024,2024-06-19,Alemania,Hungría,1.2617,6.245,10.8833
2024,2024-06-19,Croacia,Albania,1.4483,4.3883,7.905
2024,2024-06-18,Portugal,República Checa,1.4983,4.3783,6.5817
2024,2024-06-18,Turquía,Georgia,1.63,3.905,5.6167
2024,2024-06-17,Austria,Francia,5.935,4.1933,1.56
2024,2024-06-17,Bélgica,Eslovaquia,1.5017,4.3033,6.6633
2024,2024-06-17,Rumanía,Ucrania,4.5933,3.5033,1.8467
2024,2024-06-16,Serbia,Inglaterra,6.7217,4.3183,1.5
2024,2024-06-16,Eslovenia,Dinamarca,5.77,3.6117,1.6867
2024,2024-06-16,Polonia,Países Bajos,6.5833,4.3167,1.5067
2024,2024-06-15,Italia,Albania,1.3533,4.7967,10.45
2024,2024-06-15,España,Croacia,1.9067,3.4317,4.3
2024,2024-06-15,Hungría,Suiza,3.8533,3.1333,2.1317
2024,2024-06-14,Alemania,Escocia,1.2867,5.76,10.6167
2021,2021-07-11,Italia,Inglaterra,3.4117,2.9083,2.4833
2021,2021-07-07,Inglaterra,Dinamarca,1.7517,3.4417,5.6067
2021,2021-07-06,Italia,España,2.5017,3.14,3.11
2021,2021-07-03,Ucrania,Inglaterra,7.6367,3.995,1.5083
2021,2021-07-03,República Checa,Dinamarca,4.0383,3.0833,2.1067
2021,2021-07-02,Bélgica,Italia,3.315,3.185,2.3283
2021,2021-07-02,Suiza,España,5.7983,3.845,1.6383
2021,2021-06-29,Suecia,Ucrania,2.3333,3.1683,3.345
2021,2021-06-28,Francia,Suiza,1.645,3.765,5.9417
2021,2021-06-28,Croacia,España,6.48,3.86,1.5883
2021,2021-06-27,Bélgica,Portugal,2.42,3.295,3.0683
