elite,caf,concacaf,afc,ofc,avg_margin,combo_time_s,pts_2002,margin_2002,time_2002,pts_2006,margin_2006,time_2006,pts_2010,margin_2010,time_2010,pts_2018,margin_2018,time_2018,pts_2022,margin_2022,time_2022
1.2,1.1,1.0,1.0,0.9,13.97730389565974,396.4,53,11.977272727272728,75.9,68,18.328125,80.0,60,16.604651162790695,78.5,59,14.0,81.8,53,8.976470588235294,80.2
1.2,1.1,1.0,1.0,0.95,13.97730389565974,392.7,53,11.977272727272728,72.8,66,16.328125,80.6,60,16.604651162790695,77.4,61,16.0,81.6,53,8.976470588235294,80.2
1.1,1.0,1.05,0.95,0.9,13.97730389565974,393.4,53,11.977272727272728,74.0,67,17.328125,80.3,60,16.604651162790695,78.0,60,15.0,81.7,53,8.976470588235294,79.4
1.1,1.0,1.0,0.95,1.0,13.97730389565974,391.8,53,11.977272727272728,73.1,66,16.328125,80.2,60,16.604651162790695,76.9,61,16.0,81.4,53,8.976470588235294,80.1
1.2,1.0,1.05,0.95,0.9,13.97730389565974,394.7,53,11.977272727272728,73.3,66,16.328125,80.9,60,16.604651162790695,78.0,61,16.0,82.3,53,8.976470588235294,80.2
1.15,1.05,1.1,1.0,0.9,13.97730389565974,395.4,53,11.977272727272728,73.6,67,17.328125,80.5,60,16.604651162790695,77.8,60,15.0,82.8,53,8.976470588235294,80.6
1.2,1.0,1.05,1.05,0.95,13.97730389565974,397.5,53,11.977272727272728,73.8,67,17.328125,81.0,60,16.604651162790695,79.2,60,15.0,83.0,53,8.976470588235294,80.5
1.15,1.05,1.1,0.95,0.95,13.97730389565974,393.1,53,11.977272727272728,73.1,67,17.328125,79.9,60,16.604651162790695,77.8,60,15.0,82.1,53,8.976470588235294,80.2
1.2,1.0,1.0,0.95,0.95,13.97730389565974,396.9,53,11.977272727272728,74.8,65,15.328125,81.1,60,16.604651162790695,78.2,62,17.0,81.7,53,8.976470588235294,81.1
1.15,1.1,1.1,0.95,0.95,13.97730389565974,395.4,53,11.977272727272728,73.5,67,17.328125,80.7,60,16.604651162790695,78.7,60,15.0,82.2,53,8.976470588235294,80.3
1.2,1.0,1.1,1.0,0.9,13.97730389565974,396.0,53,11.977272727272728,75.4,66,16.328125,80.5,60,16.604651162790695,79.1,61,16.0,81.1,53,8.976470588235294,80.0
1.2,1.0,1.1,1.0,1.0,13.97730389565974,395.0,53,11.977272727272728,74.8,66,16.328125,79.9,60,16.604651162790695,78.8,61,16.0,81.5,53,8.976470588235294,80.0
1.15,1.0,1.1,1.0,0.9,13.97730389565974,391.5,53,11.977272727272728,73.3,67,17.328125,81.1,60,16.604651162790695,77.0,60,15.0,80.7,53,8.976470588235294,79.4
1.1,1.1,1.05,1.05,1.0,13.97730389565974,393.2,53,11.977272727272728,73.2,66,16.328125,80.3,60,16.604651162790695,78.7,61,16.0,81.2,53,8.976470588235294,79.8
1.15,1.05,1.0,0.95,0.95,13.97730389565974,395.8,53,11.977272727272728,74.1,66,16.328125,81.6,60,16.604651162790695,77.5,61,16.0,82.4,53,8.976470588235294,80.2
1.1,1.1,1.05,1.0,1.0,13.97730389565974,390.9,53,11.977272727272728,73.7,66,16.328125,79.3,60,16.604651162790695,77.6,61,16.0,81.6,53,8.976470588235294,78.7
1.1,1.1,1.1,0.95,0.95,13.97730389565974,395.6,53,11.977272727272728,73.2,67,17.328125,80.3,60,16.604651162790695,79.5,60,15.0,81.6,53,8.976470588235294,81.1
1.15,1.0,1.1,1.05,0.9,13.97730389565974,392.5,53,11.977272727272728,72.3,67,17.328125,81.4,60,16.604651162790695,77.9,60,15.0,81.2,53,8.976470588235294,79.8
1.15,1.05,1.0,0.95,0.9,13.97730389565974,394.0,53,11.977272727272728,72.8,66,16.328125,81.6,60,16.604651162790695,78.5,61,16.0,81.5,53,8.976470588235294,79.7
1.15,1.05,1.0,0.95,1.0,13.97730389565974,389.6,53,11.977272727272728,73.3,66,16.328125,79.8,60,16.604651162790695,76.2,61,16.0,81.7,53,8.976470588235294,78.6
1.2,1.05,1.0,0.95,0.95,13.97730389565974,398.2,53,11.977272727272728,72.0,65,15.328125,79.6,60,16.604651162790695,78.0,62,17.0,80.9,53,8.976470588235294,87.8
1.1,1.05,1.0,1.0,0.9,13.97730389565974,391.4,53,11.977272727272728,73.9,66,16.328125,79.7,60,16.604651162790695,77.6,61,16.0,81.3,53,8.976470588235294,78.9
1.1,1.05,1.0,1.05,0.95,13.97730389565974,393.9,53,11.977272727272728,73.7,66,16.328125,81.0,60,16.604651162790695,77.8,61,16.0,82.0,53,8.976470588235294,79.5
1.1,1.05,1.1,0.95,0.9,13.97730389565974,393.6,53,11.977272727272728,73.4,67,17.328125,80.5,60,16.604651162790695,77.7,60,15.0,82.2,53,8.976470588235294,79.8
1.2,1.1,1.05,0.95,1.0,13.97730389565974,393.8,53,11.977272727272728,73.1,66,16.328125,79.6,60,16.604651162790695,78.2,61,16.0,82.4,53,8.976470588235294,80.6
1.2,1.05,1.1,1.05,0.95,13.97730389565974,396.6,51,9.977272727272728,75.8,67,17.328125,80.1,60,16.604651162790695,78.5,62,17.0,82.4,53,8.976470588235294,79.8
